,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,IS_SUCCESSFUL,ASK_AMT_BIN
0,T10,Independent,C1000,ProductDev,Association,1,0,N,1,5000
1,T3,Independent,C2000,Preservation,Co-operative,1,1-9999,N,1,1000000
2,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
3,T3,CompanySponsored,C2000,Preservation,Trust,1,10000-24999,N,1,Other
4,T3,Independent,C1000,Heathcare,Trust,1,100000-499999,N,1,1000000
5,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,50000
7,T3,Independent,C2000,Preservation,Trust,1,10M-50M,N,1,Other
8,T7,Independent,C1000,ProductDev,Trust,1,1-9999,N,1,1000000
9,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
10,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,0,1000000
11,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,0,1000000
12,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
13,T3,Independent,Other,Preservation,Trust,1,25000-99999,N,1,Other
14,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
15,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
16,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
17,T3,Independent,C1000,Heathcare,Trust,1,50M+,N,0,Other
18,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
19,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
20,T4,Independent,C3000,ProductDev,Trust,1,0,N,1,5000
21,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
22,T3,Independent,Other,Preservation,Trust,1,100000-499999,N,0,1000000
23,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
24,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,0,5000
25,T4,Independent,C3000,ProductDev,Trust,1,0,N,1,5000
26,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
27,T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,1,50000
28,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
29,T6,Independent,C2000,ProductDev,Trust,1,0,N,1,5000
30,T6,Independent,C2000,ProductDev,Trust,1,100000-499999,N,1,1000000
31,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
32,T7,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
33,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
34,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
35,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
36,T4,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
37,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
38,T7,Independent,C1000,ProductDev,Association,1,0,N,0,5000
39,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,5000
40,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
41,Other,Independent,C1000,ProductDev,Trust,1,25000-99999,N,0,Other
42,T7,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
43,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
44,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
45,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
46,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
47,T7,Independent,C1000,ProductDev,Trust,1,0,N,0,5000
48,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
49,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
50,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,50000
51,T3,Independent,C1200,Preservation,Trust,1,1M-5M,N,0,Other
52,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,5000
53,T3,Independent,C2000,Preservation,Trust,1,10M-50M,N,0,1000000
54,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,50000
55,T3,CompanySponsored,C1000,Preservation,Association,1,100000-499999,N,0,1000000
56,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
